name,game_internal_id
Feature 9,666
Feature 16,666
Feature 13,666
Feature 4,666
Feature 1,666
Feature 9,882
Feature 61,882
Feature 13,882
Feature 4,882
Feature 1,882
Feature 9,955
Feature 6,955
Feature 24,955
Feature 4,955
Feature 1,955
Feature 5,126
Feature 2,126
Feature 7,126
Feature 3,126
Feature 14,126
Feature 1,126
Feature 5,786
Feature 12,786
Feature 78,786
Feature 4,786
Feature 1,786
Feature 9,1502
Feature 12,1502
Feature 13,1502
Feature 4,1502
Feature 1,1502
Feature 1,1370
Feature 10,1370
Feature 53,1370
Feature 5,156
Feature 79,156
Feature 28,156
Feature 4,156
Feature 1,156
Feature 62,1371
Feature 12,1371
Feature 26,1371
Feature 4,1371
Feature 1,1371
Feature 80,820
Feature 67,820
Feature 81,820
Feature 9,27
Feature 35,27
Feature 4,27
Feature 48,27
Feature 7,27
Feature 1,27
Feature 9,746
Feature 7,746
Feature 13,746
Feature 4,746
Feature 1,746
Feature 62,1360
Feature 12,1360
Feature 26,1360
Feature 4,1360
Feature 1,1360
Feature 5,750
Feature 18,750
Feature 8,750
Feature 4,750
Feature 1,750
Feature 53,681
Feature 13,681
Feature 4,681
Feature 55,681
Feature 1,681
Feature 34,225
Feature 12,225
Feature 26,225
Feature 4,225
Feature 1,225
Feature 5,1470
Feature 12,1470
Feature 82,1470
Feature 4,1470
Feature 1,1470
Feature 9,926
Feature 12,926
Feature 52,926
Feature 4,926
Feature 1,926
Feature 9,1149
Feature 49,1149
Feature 13,1149
Feature 4,1149
Feature 1,1149
Feature 5,1143
Feature 12,1143
Feature 8,1143
Feature 4,1143
Feature 1,1143
Feature 1,1201
Feature 48,1201
Feature 2,1201
Feature 5,1201
Feature 83,1201
Feature 4,1201
Feature 1,814
Feature 64,814
Feature 4,814
Feature 9,814
Feature 16,814
Feature 5,1636
Feature 48,1636
Feature 28,1636
Feature 4,1636
Feature 1,1636
Feature 9,1621
Feature 49,1621
Feature 50,1621
Feature 13,1621
Feature 14,1621
Feature 1,1621
Feature 9,164
Feature 15,164
Feature 33,164
Feature 24,164
Feature 14,164
Feature 1,164
Feature 5,306
Feature 43,306
Feature 72,306
Feature 8,306
Feature 4,306
Feature 1,306
Feature 9,456
Feature 6,456
Feature 25,456
Feature 24,456
Feature 4,456
Feature 1,456
Feature 1,1126
Feature 12,1126
Feature 35,1126
Feature 74,1126
Feature 4,1126
Feature 62,1414
Feature 1,1414
Feature 12,1414
Feature 26,1414
Feature 4,1414
Feature 9,1495
Feature 12,1495
Feature 13,1495
Feature 4,1495
Feature 1,1495
Feature 27,1198
Feature 12,1198
Feature 26,1198
Feature 4,1198
Feature 1,1198
Feature 1,1444
Feature 12,1444
Feature 24,1444
Feature 9,1444
Feature 4,1444
Feature 9,453
Feature 72,453
Feature 7,453
Feature 1,453
Feature 13,453
Feature 4,453
Feature 84,626
Feature 41,626
Feature 85,626
Feature 9,508
Feature 12,508
Feature 1,508
Feature 26,508
Feature 4,508
Feature 9,842
Feature 28,842
Feature 4,842
Feature 7,842
Feature 56,842
Feature 1,842
Feature 1,264
Feature 12,264
Feature 35,264
Feature 4,264
Feature 9,264
Feature 1,1590
Feature 9,1590
Feature 21,1590
Feature 13,1590
Feature 4,1590
Feature 70,972
Feature 66,972
Feature 65,972
Feature 41,972
Feature 9,628
Feature 12,628
Feature 13,628
Feature 4,628
Feature 1,628
Feature 9,1001
Feature 12,1001
Feature 24,1001
Feature 4,1001
Feature 1,1001
Feature 9,686
Feature 10,686
Feature 13,686
Feature 14,686
Feature 1,686
Feature 5,799
Feature 10,799
Feature 6,799
Feature 8,799
Feature 4,799
Feature 1,799
Feature 1,986
Feature 9,986
Feature 49,986
Feature 11,986
Feature 4,986
Feature 5,1489
Feature 10,1489
Feature 57,1489
Feature 82,1489
Feature 14,1489
Feature 1,1489
Feature 5,881
Feature 12,881
Feature 8,881
Feature 4,881
Feature 1,881
