gameid,provider,category
1129,Provider 1,Category 2
1132,Provider 8,Category 4
1136,Provider 5,Category 4
1143,Provider 8,Category 4
1146,Provider 4,Category 4
1149,Provider 4,Category 4
1150,Provider 2,Category 3
1158,Provider 5,Category 4
1181,Provider 5,Category 4
1183,Provider 3,Category 4
1186,Provider 4,Category 4
1195,Provider 8,Category 4
1198,Provider 4,Category 4
1199,Provider 4,Category 4
1201,Provider 4,Category 4
1203,Provider 5,Category 4
1211,Provider 4,Category 4
1212,Provider 5,Category 4
1223,Provider 4,Category 4
1233,Provider 5,Category 4
1236,Provider 8,Category 4
1237,Provider 4,Category 4
1249,Provider 4,Category 4
1251,Provider 8,Category 4
1257,Provider 4,Category 4
1262,Provider 3,Category 4
1276,Provider 7,Category 4
1277,Provider 2,Category 10
1282,Provider 4,Category 4
1292,Provider 5,Category 3
1296,Provider 6,Category 3
1308,Provider 5,Category 4
1311,Provider 8,Category 4
1316,Provider 8,Category 4
1319,Provider 5,Category 4
1331,Provider 4,Category 4
1341,Provider 5,Category 4
1347,Provider 7,Category 4
1348,Provider 3,Category 4
1355,Provider 3,Category 4
1356,Provider 4,Category 4
1358,Provider 5,Category 4
1360,Provider 5,Category 4
1362,Provider 5,Category 4
1364,Provider 4,Category 4
1370,Provider 3,Category 4
1371,Provider 3,Category 4
1374,Provider 4,Category 4
1385,Provider 4,Category 4
1388,Provider 6,Category 4
1389,Provider 6,Category 4
1407,Provider 2,Category 6
1408,Provider 6,Category 4
1409,Provider 3,Category 4
1411,Provider 3,Category 4
1414,Provider 4,Category 4
1416,Provider 5,Category 4
1426,Provider 4,Category 4
1428,Provider 5,Category 4
1431,Provider 3,Category 4
1434,Provider 4,Category 4
1444,Provider 7,Category 4
1449,Provider 2,Category 8
1456,Provider 6,Category 4
1465,Provider 5,Category 4
1469,Provider 5,Category 4
1470,Provider 8,Category 4
1479,Provider 5,Category 4
1480,Provider 4,Category 4
1482,Provider 8,Category 4
1485,Provider 4,Category 4
1489,Provider 5,Category 4
1492,Provider 6,Category 4
1494,Provider 4,Category 4
1495,Provider 4,Category 4
1500,Provider 4,Category 4
1502,Provider 5,Category 4
1503,Provider 6,Category 4
1506,Provider 5,Category 4
1522,Provider 6,Category 4
1525,Provider 4,Category 4
1532,Provider 4,Category 4
1539,Provider 5,Category 4
1546,Provider 8,Category 4
1547,Provider 3,Category 4
1555,Provider 5,Category 4
1560,Provider 6,Category 4
1562,Provider 9,Category 8
1568,Provider 5,Category 4
1573,Provider 6,Category 4
1584,Provider 4,Category 4
1587,Provider 5,Category 4
1588,Provider 4,Category 4
1590,Provider 4,Category 4
1591,Provider 2,Category 8
1594,Provider 4,Category 4
1600,Provider 5,Category 4
1605,Provider 5,Category 3
1606,Provider 1,Category 2
1607,Provider 3,Category 4
1615,Provider 8,Category 4
1619,Provider 6,Category 4
1620,Provider 5,Category 4
1621,Provider 5,Category 4
1628,Provider 4,Category 4
1636,Provider 4,Category 4
1657,Provider 1,Category 2
1666,Provider 4,Category 4
1668,Provider 8,Category 4
1670,Provider 5,Category 4
1673,Provider 4,Category 4
1687,Provider 3,Category 4
1688,Provider 3,Category 4
1689,Provider 8,Category 4
