gameid,playerid,rounds
2670,174,69
964,174,61
1411,174,130
981,174,420
467,174,154
813,175,12
2323,175,212
1485,175,45
838,175,44
467,175,117
508,175,97
2734,176,61
1426,176,97
2203,176,89
1018,176,23
2101,176,43
1251,176,80
2116,176,83
820,176,14
2547,176,120
2202,176,81
2558,176,54
1506,176,40
2660,176,123
1590,176,1
1492,176,139
617,176,105
433,176,74
845,176,195
164,176,438
2278,176,102
2476,176,108
818,176,18
2124,176,86
2663,176,154
819,176,45
2213,176,142
1985,177,12
1522,178,247
1657,179,9
1713,180,116
628,180,183
1485,180,21
1657,180,5
456,180,21
981,180,23
1449,181,6
1562,181,8
964,181,34
1934,182,860
2885,183,18
1657,183,1
453,183,14
1181,184,3
127,184,628
1657,185,31
338,186,12
469,187,37
2669,187,3
1037,188,240
1411,189,2
456,189,5
1657,189,8
2090,189,79
845,189,5
1657,190,10
1657,191,2
1562,192,5
406,193,62
1657,193,192
813,194,14
1203,195,34
42,195,456
61,195,463
1657,195,25
935,195,95
2970,196,49
1525,196,35
1251,196,8
813,196,665
711,196,2
820,196,8
2220,196,12
2670,196,147
2734,196,34
2138,196,3
999,196,4
881,197,46
1568,198,321
273,198,59
1158,198,316
1886,199,92
2148,200,97
164,200,122
2670,200,47
1449,201,4
1657,202,1
339,203,965
842,203,44
1389,203,999
649,203,3
981,203,255
2090,203,4
883,204,162
249,205,4
98,205,1
643,206,192
473,206,264
1886,206,495
2670,206,307
2203,206,29
973,206,259
935,206,1
1606,207,13
1673,207,14
1657,208,13
2308,209,33
1886,209,94
2671,209,8
16,210,628
819,210,23
724,210,7
1037,211,396
1158,211,119
981,212,98
1657,213,16
1492,213,18
358,213,640
1668,214,14
156,215,109
1411,216,5
2885,216,3
1713,216,3
1017,217,1
2881,217,51
508,218,3
198,218,69
825,219,547
1886,219,445
164,220,1
2681,220,263
508,221,30
820,221,21
1657,222,2
628,223,284
819,224,88
12,224,375
508,225,187
526,226,27
2144,226,70
2286,226,27
2331,226,38
2342,226,127
2205,226,13
2243,226,16
2670,226,33
2142,226,21
2334,226,14
1568,226,12
825,226,10
813,226,47
2218,226,39
1113,226,7
2884,226,41
524,226,86
710,226,28
162,227,495
2238,228,1
1492,228,105
2970,229,53
1414,229,83
719,229,9
939,229,23
408,230,78
127,231,622
1181,231,390
1657,232,4
1713,233,5
508,234,435
1657,235,1
600,236,5
1657,236,1
1411,237,196
165,238,2
164,239,133
12,240,4
307,241,109
1590,241,24
1657,241,31
1257,242,12
981,242,679
819,242,1
1149,243,785
162,243,53
30,243,16
456,243,1
625,244,211
1568,245,80
686,245,126
883,245,32
1713,245,103
305,245,40
1485,245,60
1158,245,87
2670,245,11
198,245,10
825,245,169
1985,245,18
1555,245,14
229,246,10
1296,246,5
364,246,6
1657,246,190
1985,247,7
2670,247,213
367,247,231
845,248,96
